text,polarity
ќ«Ё «бдў«г где Ё÷нЏ Џндеягб  Ќёнё Ќбге Ё«Џ ёбжеќ—ћ ж ягб Ў—нёе Ёё бже »«”г гЌ”д Ќя«не Ћж—е,1
«бде«—ѕе Ён  Ќёнё «” ё’«∆н Џ»ё—н Џд «бЁ”«ѕ Ён «б»ж—’е Ён «бг’—н бб«”Ё ен же Ён “Ќге «б«Ќѕ«Ћ,1
«бяб«» «жЁн«Ѕ —ћ«Ѕ Џѕг «е«д ег,1
«Џћ»дн Ёнѕнж Џбм ’«Ќ»е «б”Џ«ѕе «»—«енг Џн”м «бж«ёЏ,1
«ббе н»«—я Ёня «бЌгѕббе ‘ѕж «б—Ќ«б гд бдѕд «бм бнЁ—»жб я«дж ж«Ћёнд ќбЁег «бЏўнг гж—ндеж ’нЏ—н ’Ќ«Ёе «Џб«г,1
я«д Ќн «бЎ»ёе «бг ж”Ўе «бЏбн« Ён г’— ж –е» «бне «бя «» ж «бгЋёЁнд «бг’—ннд »ЌЋ« Џд г“нћ д«ѕ— н Ёё гЏ Ў»нЏ е,1
«бгд«÷б Ќгѕнд ’»«Ќн ”нўб нд«÷б жнд«÷б Ќ м нћѕ дЁ”е гЌяжг« Џбне »«б«Џѕ«г » еге гг«—”е «бд÷«б Ён гя«д Џ«г ж»я—е  ‘жЁж«,1
—»д« н»«—я Ёняг,1
«нг«дд« нгЌё  еѕнѕег ж”дж«’б д÷«бд« «б”бгм гЏ «б‘Џ» «бг’—м ж‘»«»е «бЋ«∆— б«” яг«б Ћж— д« ж«бё’«’ бѕг«Ѕ ‘еѕ«∆д« жжЁ«Ѕ« б—жЌ «б‘енѕ гЌгѕ«бћдѕм,1
 –я—д« «бд»нб г’ЎЁм д»нб я« »д« «бя»н— жеж Ќн н—“ё жд гдм «д н –я—е »«ЌЋж «б«Џб«г »Џѕ гж е—Ќге «ббе,1
«б«Џб«гн гЌгѕ Ёжѕе нЏёѕ гƒ г—« ћг«ен—н« џѕ« »гѕнде “Ё м »Ќ÷ж— «бЁд«де џ«ѕе Џ»ѕ«б—«“ё бѕЏг «бг—‘Ќ Џ»ѕ«бЁ «Ќ «б”н”н «бЏ» н«”н”н,1
гд нЁег Ён «бё«джд «яЋ— гд «бЁёне «бѕ” ж—н «бѕя ж— Ћ—ж  »ѕжн ж«бѕя ж— Џ«ЎЁ «б»д« ж«б«” «– ћг«б Џнѕ ябег «нѕж« ё—«— «б—∆н” »Џжѕе «б»—бг«д,1
Џд «бЁ—Ќ «ббге «бќ—жћ ÷Ќя «б”днд «бџдн «б ’жн— «ббЁ »«бЏ—»не «б‘«—Џ бб’»Ќ «бќ»—е Џг— «бг”ќ—е «б«д»”«Ў нжг Ё‘нќ,1
”»Ќ«дя н«ббе жЁн ”«Џе «бгЎ—  ” ћн» бѕЏж« д« Џ«ѕб,1
ёбгнд Џё» «”»жЏ гд гЌгѕ гЌгжѕ «бгћѕ б«»Ў«б гЌгѕ гЌгжѕе Ё÷б г’— ‘«нбе ћгнбег ѕ«∆г« ж«»ѕ«,1
д Ёё гЏя Ён «д «б—ћ«б нЏ—Ёжд »«бЌё жб« нЏ—Ё «бЌё »«б—ћ«б,1
ж «Џ “ »г’—н м ж ’Џнѕ м,1
« гдм «д  яжд «бёжм «б«”б«гне ж«ббн»—«бне ж«бн”«—не —«џ»е »«бЁЏб Ён  ‘янб ё«∆ге жЎдне гжЌѕе бќж÷ «б«д ќ«»«  «б»—бг«дне «бё«ѕге,1
«»—«енг ’б«Ќ ÷Ќм » гбнжд гд «беб«б «б”Џжѕм «ж « Ќ«ѕ ћѕе ж«ќ «— «б“г«бя “гбя«жм,1
«б‘нќ Ќ«“г «»ж «”г«Џнб н—ѕ Џбм Ё жм »—е«гн «б«ќн—е Ёя «ббе «”—я н« »Ўб гдя д Џбг гдећ «бѕнд «бЌё,1
”д”гж Џбм ќб«Ё« д« «б”н«”не ж«бЌ“»не ж”дЏбм ЁёЎ «бг’бЌе «бжЎдне ” д ’— Ћж— д« ж” яжд г’— ёжне »«–д «ббе,1
«ббе ндж— Џбня н« ѕя ж— еж ѕе «б Ёян— «ббм Џ«н“нде г‘ яг г”ћѕ жяг ядн”е,1
бн” »гёѕж— «Ќѕ «д нЏнѕ «бг’—ннд «бм Ќўн—е «бќжЁ бёѕ «бЋж—е я”—  Ќ«ћ“ «бќжЁ «бм «б«»ѕ бд д —«ћЏ Џд гЎ«б» «бЋж—е жбж ’ѕ— ÷ѕд« «бЁ Ќяг,1
дед∆ «бѕя ж— Џ»ѕ «бгдЏг «»ж «бЁ жЌ » «”н” Ќ“» г’— «бёжне ждѕЏж бе »«б жЁнё ж»«д няжд е–« «бЌ“» ќЎже дЌж »д«Ѕ,1
«бЎ«ёе «б»‘—не «–« г« «Ќ”д «” џб«бе« ем —’нѕ« ж бн”  Џ»∆« ёж д« Ём Џѕѕд«,1
«жб«ѕ гн  Џё»е «б“г«бя Ќ» «б«»н÷ џн—,1
«бЁ ‘я—,1
«б«д гЌ«÷—е Џд «б’Ќ«»н «бћбнб жќбнЁе —”жб «ббе ЏЋг«д »д ЏЁ«д –ж «бдж—нд «–«Џе «бё—«д,1
жЌн«е ёб»н ж«Ё—«Ќе «б‘»«» «б«ебн,1
гжёЁ гЌ —г Ќ–— «б«гн— ќ«бѕ »д Ўб«б »д Џ»ѕ «бЏ“н“ Џ÷ж «бЏ«∆бе «бг«бяе »«б”Џжѕне «д «ћ«“е «бќ—жћ Џбм «б—∆н” г—”н,1
Ќ«б« б«жб г—е Ён Ќн« н г ‘—Ё «дн «яжд Ён гѕнде «бгЌбе «бя»—н б«Ќн«Ѕ «Ќѕ «б«Ё—«Ќ »Џѕ ёбнб,1
жбг«  »’ Ќж«бня е Џ—Ё «дя «Ќ”д гд д«” я н— Џ‘«д яѕе б«“г  ёжб «бЌгѕ ббе,1
г«бе ”гя «”ядѕ—не н«Ёдѕг Ў» ж«ббе гд џн— г»«бџе бЁн  «бЏ«бг г«бён  гЋнбе ж« ж”б «бнян г« ЌЎгн‘ «”Ўж— н «бќ«’е,1
ёѕ«г »н н «б—»нЏ «бћг«б днжнж—я »н н г» ЏЋ,1
Џѕ  гд «б«”г«Џбне гд– ёбнб »Џѕ нжг Ќ«Ёб ќ г е »гƒ г— ћг«ен—н ѕЁЅ г‘«Џ— «еб «б«”г«Џбне ежд »—жѕе «бћж,1
«Ќ”д Ќ«ће Ён «џдне «б”яе ‘г«б ен« «не «не «не «не «ббн «гн— »нёжбе« ё»б г« »нџдн Џбн Ўжб,1
Ё«бёне Ён «бнг жб«  ќ«Ён жб«  Ќ“дн «д« —«ѕже «бня жћ«Џбже гд «бг—”бнд е–е «б«не  »ЏЋ «б«гб б,1
н«ћЏб ѕ—»я  ”«енб ж«бЁж“ Ё«бя «бд’— «б‘»«» д’—«жн б« ябгдн,1
«д  ё’е Џ‘ё б« нЁеге« «б« «бдћж«днжд еб« Ё»—«н—,1
н ёѕг «б‘Џ» «бг’—н »ќ«б’ «б‘я— ж«б«г д«д ббг‘н— «б”н”н бгћежѕе «бћ»«— Ён Ќб «бд“«Џ «бжЎдн »нд г— ÷н гд’ж— ж«Ќгѕ ‘ж»н— е«‘ «ћ,1
«б”днд «бЌбже » Џѕм ёж«г ж «д « «”гя Ём «б «—нќ »«бдж— гя ж» «»ж  —няе,1
«бѕ—«г« «бг’—не Ён  ёѕг г»е— г”б”б дн—«д ’ѕнёе —««∆Џ ћѕ« ћѕ«,1
я«дж« —ћ«б г—”м —∆н”м я«дж« —ћ«б «б‘Џ» н—ѕ  Ќне «б—∆н” «д« Ќ«“г ”дЌн« я—«г«,1
н« —» бя «бЌгѕ «д ћгЏ  ‘гб «”— н,1
Ён «бЎ—нё «бм «”ж«д б«жб г—е гд– «яЋ— гд Џ«г« »ѕЏже я—нге гд «бѕя ж— гћѕн нЏёж» бЌ÷ж— «Ё  «Ќ «бг»дм «бћѕнѕ »г” ‘Ём «бёб» ед«я,1
нћ» «д д»ѕ« Ќгбе  жЏне бЌЋ «бд«” Џбм «б ’жн  »яЋ—е б«д –бя Ё,1
еб« Ё»—«н— «бн”« Џбм —ж «д« г’—не «бж«Ќѕ я«д гќджё ж Ё—Ё‘,1
ѕ—” «бЏ—»н Ён «б«—н«Ё »нѕЏнбяж« гЌгѕ гЌ”д жг” — ггѕжЌ »ннѕЏнбяж« »—ѕе,1
ѕ Џ»ѕ «бгдЏг «»ж «бЁ жЌ ћг«б Џ»ѕ «бд«’— я«д гЋбд« «б«Џбм Ён ‘»«»д« жЌ м дя”е Ён »—д«гћ «д  ж÷гн—я Џбм ёд«е ѕ—нг,1
нед∆ Ќ“» «бж”Ў «бѕя ж— Џ»ѕ «бЁ «Ќ г«÷н » Џннде —∆н”« ббгћб” «бёжгм бб‘»«» жн гдм бе «б жЁнё,1
Ён ћжб н «бнжг »гѕнде »ѕ— «”Џѕдн »‘ѕе бё«Ѕ «бгж«Ўднд гд Џг«б «бг’«дЏ «б–нд нгЋбжд ё«Џѕе Џг«бне Ќёнёне  ”ег »‘яб ЁЏ«б Ён  дгне «бѕ«∆—е,1
жбџ«не г« »дж« «бяд«н” ћж«гЏд« ж»нж д« жёбж»д« жЏнждд« гЁ жЌе бняж«  дж—же« ж дж—жд«,1
яг«  егд« г’—  Џднд« ѕг‘ё жяг«  ‘ёнд« џ“е  ё бд« »џѕ«ѕ жяг« дЌ» «бнгд дќ‘м Џбм бн»н« «г« ёЎ— Ёен ”нѕе «бдеж÷ ж,1
дЌнн ‘»«» Ќ“» «бж”Ў Џбм гћежѕег «б—«∆Џ Ём «б«д ќ«»«  ж«б–м я«д ”»»« Ём Ќ’жб «бЌ“» Џбм г« нё—» гд гбнжд ’ж  ггд ’ж ж« бд« Џд «ё д«Џ,1
г Ќг”нд ћѕ« бб‘ќ’не «бћѕнѕе Џбм Ќгѕ «бЏг«дн »Џѕ дћ«Ќе Ён ‘ќ’не нж”Ё Ён  ж«бн «ббнб «бћгеж— г« —«Ќ,1
‘я—« «д Ќ÷— я ѕж—  Џбм «бгЏбжге ж«ё дЏ «д« бн” бн г’бЌе ж«я » г«н—÷н ÷гн—н ж«бЏбг Џдѕ «ббе,1
«‘я—я н« ќ«бѕ,1
«»д г’— гЁн‘ яб«г ћѕж «б«ебм г»—жжя,1
«б«г«—«  «бнжг гЌббжд «б ’ЌнЌ ÷—ж—е б»д«Ѕ г—«я“ г«бне ћѕнѕе «б«г«—«  »«бЏ—»н,1
”Џѕ  »гЌ«ѕЋе ’«Ќ» «б”гж«бгбян «б«гн— дж«Ё »д Ён’б ед« е бн” »«бгѕнде«б—н«÷не«ж»дћ«Ќ ЌЁб «Ё  «Ќе« ед« е Џбм  ‘—нЁ «бг,1
«бдў— «бм жће «б«г Џ»«ѕе,1
Ћб«Ћ ”дж«  ж —жЌе гЏд« гЏн«—« ббг»«ѕ∆ «ббег «—Ќг гЌгжѕ Џж÷ ж «ѕќбе Ё”нЌ ћд« я,1
б«ћѕнѕ Ёћгеж— ‘»яе «бгћѕ нгбяжд гд «бжЁ«Ѕ ж«бжб«Ѕ г«  Џћ“ Џде Ќ—жЁ «б‘я— ж«бЋд«Ѕ г»«ѕ—е »«ѕ—е гћѕ«жне б« дгбя дЌже«,1
«б’бЌ ќн— ёжг д ’«бЌ «бг‘н—,1
«» ”г Ёб бя «б»”ге «б’џн—е «Ћ— я»н— Ён «”Џ«ѕ ёбж» «?ќ—нд,1
Џбг «»дя «бё—«д ж”жЁ нЏбге «бё—«д яб ‘н Џбгж« «жб«ѕяг Џбг,1
«бЌгѕ ббе Ќёёд« г” еѕЁ Ќгбе «б нжг бгЌж «б«гне ‘я—« б‘»«» ’д«Џ «бЌн«е ж бяб ‘—я«Ѕ «бЌгбе н« —» «Џд« Џбм,1
гЁ«ћ«е —ѕ «б‘нќ Ќ«“г Џбм Ё жм »—е«гм «б«ќн—е Ёя «ббе «”—я н« «г«г н« гд Џбг д«янЁ дЌн«я—«г« ”дЌн« я—«г« »«–д «ббе,1
ѕ Џ»ѕ «бгдЏг «»ж «бЁ жЌ н‘—Ёдм жн”Џѕдн Ён «жб Џнѕ »Џѕ «бЋж—е «д «»ЏЋ » Ќн« м ж ед∆ м б«”— «б‘еѕ«Ѕ Ёеƒб«Ѕ,1
г’ЎЁм Ќ”дн,1
н« гд «–« ёб  н гжб«н б»«дн н« ж«Ќѕ« г«бе Ё гбяе Ћ«дн «Џ’н ж ” —дн «д”м ж –я—дн ЁянЁ «д”«я н гд б”   д”«дн б« «бе «б« «д ,1
 ёжб ’бн Џ «бд»н ж «ћѕЏе« ќд«ёе  дЁ÷,1
»«”г нж”Ё «б»—д«гћ,1
«ббе н»—ябя н« ѕя ж— «»ж «бЁ жЌ,1
Ён ћде «бќбѕ н« »Ўб «бЏ»ж— Ён ћде «бќбѕ н« ‘«–бн Ён ёбж»д« ” »ём,1
«Ќгѕ «ббе «бЏбм «бёѕн— Џбм г« ‘«Ѕ жёѕ— ж«‘я—е ”»Ќ«де ‘я—« ћ“нб« Џбм  ёѕн—е дћ« м,1
г” г Џ »«ѕ«—е Ќж«— «б‘»«» «бг’—н гЏ гћгжЏе «бЌяг«Ѕ Ён ѕ«— «б«ж»—«,1
«д“бж« Ён гћЎ«  «бг —ж ж«б‘ж«—Џ Ён «бг«дн« ж «г—ня« ж Ё—д”« д«” гб Ќнд »нж“Џж« г’«ЌЁ жд«” » ѕЏж« бб«”б«г Ён «б‘«—Џ г«Ќѕ‘ »нябгег,1
“»нѕе Ћ—ж  г““ г« ё»б «б»б«” ня,1
«д ен  гд «ѕ«Ѕ «бЏг—е Ё«де гдў— Џўнг «д  ћѕ «бгб«ннд н” џнЋ жд »«ббе  Џ«бм н« —» «д’—д« ж «ЌЁў »б«ѕд« ж «Ё Ќ,1
«б»«»« ‘джѕе «бЋ«бЋ я«д жЎдн« гќб’« жг’—н« Џўнг« —Ќге «ббе,1
«д« »Ќ» «ќжн«,1
«—м «д «бдў«г «бгќ бЎ »нд «бдў«г «б»—бг«дн ж«бдў«г «б—∆«”н еж «б«д”» бд« е–е «бЁ —е «б м   ж“Џ Ёне «б”бЎе,1
 Ќне бё÷«е г’— «б«ћб«Ѕ бѕЁ«Џег Џд Ќёжё «б‘Џ» «бг’—н жЌ—н« е ж г”яег »г»ѕ« «” ёб«б «бё÷«Ѕ,1
 ж«ћѕн ќ«—ћ «бггбяе гдЏдн г‘«—я ег Ён  ћен“ «б нЁж ж«Џ—Ё Ќћг «б Џ» ж«?—е«ё «ббн нЏ«дже Ќ«бн« жн«—» ? ÷нЏ бег  Џ» «б«б —«”,1
‘я—«,1
г« ем «Ё÷б жўнЁе Ём «бЌн«е гѕн— ‘—яе —∆н” гƒ””е б« ж«ббе «Ё÷б жўнЁе Ём «бЌн«е «д —»д« н‘џбя Џдѕе  ѕб «бд«” Џбм «бќн—,1
Ў»Џ« б”е г Ё«∆б »б «яЋ—  Ё«ƒб« »ќ—жћ «бгя»ж  «бм «бдж— «н ћ—«Ќе б«  ќбж гд «бг,1
«бё—«д н—ЁЏ «бд«” жнћЏбег Ён «бѕдн« ж«б«ќ—е Ён «Џбм гё«г,1
бг «е«ћге »б «Ќ —ге жбж я«д бе «ќЎ«Ѕ Ёеж »«б «янѕ ‘ќ’не  Ќ —г,1
«н «г—«е  ’дЏ «бЌ» ж«б«нЋ«— ж«б«е г«г ж«бЏЎЁ ж«бЌд«д гƒебе «д  ’»Ќ «г гЋ«бне Ќ м бж я«д  г«—бнд гжд—ж ЁнЁн Џ»ѕе «б«г «бгЋ«бне,1
” ўб –я—м «” ‘е«ѕ «б»Ўб Џ»ѕ «бгдЏг —н«÷  ќбнѕ« бгбЌге г÷н∆е гд «д’Џ ’ЁЌ«  «б «—нќ «бг’—м ж—г“« б»Ўжб«  гЏ—яе «б«” д“«Ё  Ќне бе Ём –я—«е,1
яж—”н—« «я»— гжёЏ Џ«бгн нЌ жм Џбм гд«ећ ћ«гЏ«  Џ«бгне ен «б«Ё÷б Ён  ’днЁ д Џ«жд гЏег б Џ—н» «бгд«ећ ‘«—яжд«,1
«ббн н‘жЁя н гдм няжд гЋбя ж«ббн нЏ—Ёя нЌ —гя жнЌ»я ж«ббн н”гЏ Џдя н гдм нё«»бя Ќ«жб,1
бб‘гжќ Џдж«д «б”«ѕ« ,1
«бѕя ж— Џ»ѕ «бгдЏг «д бЌг я «Ёд« гд ќн— «»д« г’— «б»”Ў«Ѕ Ён «б«Ќн«Ѕ «бЁён—е ж Џбм ÷ЁжЁ «б —Џ,1
ж—÷н  «Џн‘бя «д  н« Ќ»н»н яЁ«не «д «д  Ќ»н»н Џг—ж ѕн«»,1
Џ«н‘ гЏ«я «н«г гЁн‘ Ём ћг«бе« “м «бгб«я ѕм «ёб ябге »ёжбе« »Ќ»я Џг—ж ѕн«»,1
«–« «егя «г— џн—я Ё«Џбг »«дя –ж Ў»Џ «’нб,1
«б—ћжЏ ббЌё Ё÷нбе Ќгѕ «ббе Џбм ”б«ге «Ќгѕ «б”нѕ «бдћ«—,1
Ќяня нќбё гд «бЏѕг Ё—Ќе г,1
«”г«Ѕ ‘еѕ«Ѕ «бЋж—е «бгћѕ бб‘еѕ«Ѕ —н жн  я н— ћѕ« »ём,1
»’—Ё «бдў— Џд ‘џбе« жб« «н Ќ«ће  «дне »Ќ» Ён ЁнЁн Џ»ѕе «д «ббн Ён ёб»е« Џбн б”«де« гбе«‘ Ён «бдЁ«ё “н гЏўг «бж”Ў «бЁдн,1
ё—«— —∆н” «бћгеж—не »Џжѕе «б»—бг«д бб«дЏё«ѕ ’ЌнЌ ж «б дЁн– «б’ЌнЌ бЌяг «бгЌяге «бѕ” ж—не няжд Ён «б«д ќ«»«  «бё«ѕге,1
«д  гд «” б– »«Ќб«гн »я ж«” ЎЏг «бЌ» »Ќ÷ж—я гё »” гд  ’гнгн гн”н,1
 «яѕж« «д «б “«г «б—∆н” »«бё«джд ж«бЌЁ«ў Џбм «” ёб«б «бё÷«Ѕ ж ѕЏнге еж Ём г’бЌе «б‘Џ» ё»б «м Ў—Ё «ќ—,1
жЌн«  Џндня «ќ– ’ж  «ќ– жће Ќ”д жЎ—» «’ннб г’— «бћн“е «бё«е—е ‘«ѕне «б«е—«г«  «”нжЎ,1
я«д гЌгѕ н”—м ”б«ге ’«Ќ» —”«бе я«ЁЌ гд «ћбе« Ўнбе Ќн« е жб–бя ЁЌ м гж е я«д »гЋ«»е —”«бе,1
Џ«гб яе—»«∆н н” џб жё  Ё—«џе Ён Џ‘— –н «бЌће Ён ё—«Ѕе «бё—«д я » «ббе «ћ—е жџЁ— –д»е Џ‘— –н «бЌће,1
ж«бѕ ћня« еж «ббм я«д ѕ«ќб гЏ Ќгѕ—нд нжг  ”бнг «б жянб«  ж«Ќѕ гдд«,1
 Ќн« н н« »бѕ,1
Ён нжг «б«—÷ «бгћѕ яб «бгћѕ бгд нё«жг »«гЏ«∆ее «бќ«жне ”«г— «бЏн”«жн,1
я«д ’бм «ббе Џбне ж”бг нЌ» «бЎн» ж«б—«∆Ќе «бЌ”де жя«д б« н”бя Ў—нё« Ён »Џе «Ќѕ «б« Џ—Ё «де ёѕ ”бяе гд Ўн» Џ—Ёе д‘— ”н— е,1
«бг’—ннд «Ќ—«—,1
ее «ббе н—Ќгя н Џгд« ћ?б Џ«г—,1
”Џнѕ ћѕ« »“н«—е «бћ“«∆— »бѕ ћгнбе ЁЏб«,1
«бг’—м «Ќ”д ж«Ќѕ  “дёе Ём «бжё  н‘ џб «е ж«ббе,1
ен «д”«де —«∆Џе,1
«б—г“ «б«д ќ«»м бб «б”н”н «б”н”н —∆н”н,1
ддЏн «бн «б«д”«дне —г“« г «бё« ббд÷«б Ён ”»нб «бЌ—не ж«бде÷е ж«бя—«ге «б«д”«дне «бё«∆ѕж«бгћ«еѕж«бгЁя— «бЏ—»н «Ќгѕ »д »нбб« “Џнг Ћж—е «бћ“«∆—,1
«д г «”н«ѕ «бд’«—н »«ќб«ёяг яд г ќн— «ге «ќ—ћ  ббд«”,1
«Ќ»»  Ёня е–« «б÷дн «бд«Ўё «бгЏ»— «де« «б«д”«дне ябе« Ён ёб» —ћб г’ЎЁн гЌгжѕ ÷н,1
«бн” «бЌ» еж «д «дў— «бм жћея «бћгнб Ё«‘Џ— «ддн «г бя  яб «бѕдн«ж «д  яб ѕдн«н яб«г Ён «бЌ» г’— «б«г«—«  Ёб”Ўнд «б»Ќ—нд «б”Џжѕне,1
‘»—« «бЏўнге ѕжг«яб нд«н— ж«Ќд« ед«,1
«’—«— «б‘Џ» «б жд”н Џбм «бж’жб «бм «бянбжг — «б«ќн— Ћж—е «ќ—м Ён Ќѕ –« е ж«ег ѕ—” гд »нд ѕ—ж” яЋн—е,1
 Ё«ƒбм д«»Џ гд «нг«дн »«д «ббе б« н÷нЏ «ћ— гд «Ќ”д Џгб« жб« нжћѕ «Ќ”д ж«Џўг Џгб« гд «д н÷Ќн «б‘Џ» »ѕг«∆е гд «ћб «бЌЁ«ў Џбм жЎде жЏ—÷е,1
«’—«— «б‘Џ» «б жд”н Џбм «бж’жб «бм «бянбжг — «б«ќн— Ћж—е «ќ—м Ён Ќѕ –« е ж«ег ѕ—” гд »нд ѕ—ж” яЋн—е,1
д”«б «ббе «д нЌЁў ‘нќд« гд яб гя—же жнгд Џбне «б’Ќе ж«бЏ«Ёне ”б«г я н« ќбнЁе,1
 ”бг бн Џнждя н« «Ќбм ‘н—нд —жЌн ‘н—нд гЌгѕ «бЏ—«ён «бћ—нЌ,1
Ќ“» «бж”Ў «б«д н ёѕг г”н—е е«∆бе «бн гЌяге ѕгн«Ў б ёѕнг «ж—«ёе бб«д ќ«»«  «б»—бг«дне”Џнѕ ћѕ« »Ћё яг,1
«д« я »  «бде«—ѕе Ён «бгЏ’—е «‘еѕ бя »«бЁ÷б «д  ж«б‘»«» «ббн гЏ«я Ён д“жбн нжг ќг”е жЏ‘—нд‘я—« н«ќ«бѕ н«ћгнб,1
«бЋж—е «бг’—не жЌѕ  «бг’—ннд Ён д”нћ ж«Ќѕ  я« Ё «бг’—нжд ћгнЏ« б«”ё«Ў «бдў«г жЌгж« »Џ÷ег »Џ÷ Ён ўб џн«» «гдн я«гб,1
«б«дёб«» н—нѕ ёгЏ гбнжд г’—м бж Ќ«жб  «г—ня« »ћ»—ж е« ёгЏег г« дћЌ  ‘Џ» г’— «бЏўнг ”нд ’— жнѕЁЏ «бЏ«бг б«Ќ —«ге,1
‘я—« бяб гд ‘«—я Ён «б»—д«гћ «д г ‘—я«Ѕ Ён е–е «бЁ—Ќе «Ќ”д Ё—нё «Џѕ«ѕ ж «ќ—«ћ ж «д «ћ ж я «»е Ёќж— »‘џбн гЏ«яг,1
г—”м «б–м Ём ќ«Ў—м ж Ём ѕгм «Ќ»е гд яб —жЌм ж ѕгм,1
‘»«» «бЌгбе д«‘Ў Ён яб гЌ«Ёўе гд «ћб г’— «бг” ё»б »«—я «ббе Ёняг гЏ« ”дџн—,1
Ён нжг Џнѕ «бЏг«б яб «бж“—«Ѕ ж«бгѕ—«Ѕ ж«бгжўЁнд жџн—ег гћ«“ «б« «бЏг«б ё»бе Ќ» Џбм ћ»ндяг,1
«Ё—ё Ён ЌѕнЋн »‘яб ж«÷Ќ »нд гƒ””е «бћн‘ «б м дЏ “ »е« Ёеж ћн‘ гедм жжЎдм ж»нд ѕж— «бгћб” «бЏ”я—н »«Џ »«—е г жбм,1
гд «ёж«б ‘нќ «бгЏбёнд гЌгѕ —г÷«д г«ћѕ Џ»ѕ«ббе б«»ѕ «д  яжд ед«я ёд«е —н«÷не г ќ’’е бдћжгн е ж«»ѕ«Џе  ёѕн—« б «—нќе «бгћнѕ бжЎде жбд«ѕне,1
’»«Ќ «бќн— Џбнян н« г’— н« Ќбже ж б«»”е ћѕнѕ «д ‘«Ѕ «ббе еняжд «Ќ”д нжг Ён «ббн Ё«  ж яб «ббн ћ«н «Ќбм,1
ћ«гЏе еб”дян Ёндбдѕ«  ќ «— «б”«ѕе «бгЌ —гжд »Ё—нё Џгбе я«гб« «б»—д«гћ «б«яЋ—г’ѕ«ёне жЌ—Ёне Ён г’— ж г «ѕ—«ћ »ЌЋ Џде Ён ѕж—н е« Ёб”Ўнд,1
г’— «бнжг Ќ—е »«—я «ббе Ён ‘Џ» г’—,1
«ббе «я»— «ббе «я»—«ббе «я»— б« «бе «б« «ббе  я»н—«  «бЏнѕ  »ЏЋ Ём «бжћѕ«д Ў«ёе «нг«дне Џўнге яб Џ«г ж«д г »ќн—,1
ббе «бЌгѕ  ћж“д« гЌ» ж г «»Џ б’ЁЌе «б«ё’м г м д’б б «б«Ё гЌ» жг «»Џ  џ—нѕ«  «бѕя ж— Џж÷ «бё—дн,1
«” Ёѕ  я нн— «жн гд Ќбёе «де—ѕе гЏбжг«  «жб г—е «”гЏе« »«—я «ббе Ёня г’ЎЁм Ќ”дн Џбм Ў—нё «ббе —жЌ «бЏ»«ѕе,1
«б«”б«г «г г’— н“ѕ«ѕ «Ќ —«гм бя гƒќ—« ябг«  ябг  гЏ «дм ”«—‘Ќ «б»—«ѕЏм,1
я—” н«дж —жд«бѕж нЁ’бе еѕЁ бн’»Ќ «беѕ«Ё «б «—нќн «б«жб Ён —н«б гѕ—нѕ «”Ўж—е,1
